,title,name,party,state,district,elected,vote_share (%),age_start,education,end_service
124,Representative,Tom McClintock,Republican,California,4,, 55.9,64.0,B,03/01/2023
125,Representative,Mike Thompson,Democratic,California,5,, 76.1,69.0,M,03/01/2023
126,Representative,Doris Matsui,Democratic,California,6,, 73.3,76.0,B,03/01/2023
127,Representative,Ami Bera,Democratic,California,7,, 56.6,55.0,D,03/01/2023
128,Representative,Jay Obernolte,Republican,California,8,, 56.1,50.0,D,03/01/2023
129,Representative,Jerry McNerney,Democratic,California,9,, 57.6,69.0,D,03/01/2023
130,Representative,Josh Harder,Democratic,California,10,, 55.2,34.0,M,03/01/2023
131,Representative,Mark DeSaulnier,Democratic,California,11,, 73.0,68.0,B,03/01/2023
132,Representative,Nancy Pelosi,Democratic,California,12,, 77.6,80.0,B,03/01/2023
133,Representative,Barbara Lee,Democratic,California,13,, 90.4,74.0,M,03/01/2023
134,Representative,Jackie Speier,Democratic,California,14,, 79.3,70.0,D,03/01/2023
135,Representative,Eric Swalwell,Democratic,California,15,, 70.9,40.0,D,03/01/2023
136,Representative,Jim Costa,Democratic,California,16,, 59.4,68.0,B,03/01/2023
137,Representative,Ro Khanna,Democratic,California,17,, 71.3,44.0,D,03/01/2023
138,Representative,Anna Eshoo,Democratic,California,18,, 63.2,78.0,N,03/01/2023
139,Representative,Zoe Lofgren,Democratic,California,19,, 71.7,73.0,D,03/01/2023
140,Representative,Jimmy Panetta,Democratic,California,20,, 76.8,51.0,D,03/01/2023
141,Representative,David Valadao,Republican,California,21,, 50.5,43.0,N,03/01/2023
142,Representative,Devin Nunes,Republican,California,22,, 54.2,47.0,M,01/01/2022
143,Representative,Kevin McCarthy,Republican,California,23,, 62.1,55.0,M,03/01/2023
144,Representative,Salud Carbajal,Democratic,California,24,, 58.7,56.0,M,03/01/2023
145,Representative,Mike Garcia,Republican,California,25,, 50.1,44.0,M,03/01/2023
146,Representative,Julia Brownley,Democratic,California,26,, 60.6,68.0,M,03/01/2023
147,Representative,Judy Chu,Democratic,California,27,, 69.8,67.0,D,03/01/2023
148,Representative,Adam Schiff,Democratic,California,28,, 72.7,60.0,D,03/01/2023
149,Representative,Tony Cárdenas,Democratic,California,29,, 56.6,57.0,B,03/01/2023
150,Representative,Brad Sherman,Democratic,California,30,, 69.5,66.0,D,03/01/2023
151,Representative,Pete Aguilar,Democratic,California,31,, 61.3,41.0,B,03/01/2023
152,Representative,Grace Napolitano,Democratic,California,32,, 66.6,84.0,N,03/01/2023
153,Representative,Ted Lieu,Democratic,California,33,, 67.6,51.0,D,03/01/2023
154,Representative,Jimmy Gomez,Democratic,California,34,, 53.0,46.0,M,03/01/2023
155,Representative,Norma Torres,Democratic,California,35,, 69.3,55.0,B,03/01/2023
156,Representative,Raul Ruiz,Democratic,California,36,, 60.3,48.0,D,03/01/2023
157,Representative,Karen Bass,Democratic,California,37,, 85.9,67.0,M,09/12/2022
158,Representative,Linda Sánchez,Democratic,California,38,, 74.3,51.0,D,03/01/2023
159,Representative,Young Kim,Republican,California,39,, 50.6,58.0,B,03/01/2023
160,Representative,Lucille Roybal-Allard,Democratic,California,40,, 72.7,79.0,B,03/01/2023
161,Representative,Mark Takano,Democratic,California,41,, 64.0,60.0,M,03/01/2023
162,Representative,Ken Calvert,Republican,California,42,, 57.1,67.0,B,03/01/2023
163,Representative,Maxine Waters,Democratic,California,43,, 71.7,82.0,B,03/01/2023
164,Representative,Nanette Barragán,Democratic,California,44,, 67.8,44.0,D,03/01/2023
165,Representative,Katie Porter,Democratic,California,45,, 53.5,47.0,D,03/01/2023
166,Representative,Lou Correa,Democratic,California,46,, 68.8,62.0,D,03/01/2023
167,Representative,Alan Lowenthal,Democratic,California,47,, 63.3,79.0,D,03/01/2023
168,Representative,Michelle Steel,Republican,California,48,, 51.1,65.0,M,03/01/2023
169,Representative,Mike Levin,Democratic,California,49,, 53.1,42.0,D,03/01/2023
170,Representative,Darrell Issa,Republican,California,50,, 54.0,67.0,B,03/01/2023
171,Representative,Juan Vargas,Democratic,California,51,, 68.3,59.0,D,03/01/2023
